Latitude,Longitude
35.69112,139.73634
35.69112,139.73633
35.69112,139.73633
35.69112,139.73633
35.69112,139.73633
35.69112,139.73633
35.69112,139.73633
35.69112,139.73633
35.69112,139.73633
35.69112,139.73633
35.69112,139.73633
35.69112,139.73633
35.69112,139.73633
35.69112,139.73633
35.69112,139.73633
35.69112,139.73633
35.69112,139.73633
35.69112,139.73633
35.69112,139.73633
35.69112,139.73633
35.69112,139.73633
35.69112,139.73633
35.69112,139.73633
35.69112,139.73633
35.69112,139.73633
35.69112,139.73633
35.69112,139.73633
35.69112,139.73633
35.69112,139.73633
35.69112,139.73633
35.69112,139.73633
35.69112,139.73633
35.69112,139.73633
35.69112,139.73633
35.69112,139.73633
35.69115,139.73629
35.69115,139.73628
35.69115,139.73627
35.69114,139.73623
35.69113,139.73619
35.69112,139.73615
35.69112,139.7361
35.69111,139.73605
35.69111,139.736
35.69112,139.73594
35.69113,139.7359
35.69116,139.73586
35.69119,139.73582
35.69124,139.73578
35.69129,139.73574
35.69134,139.7357
35.69139,139.73566
35.69145,139.73562
35.69152,139.73557
35.69158,139.73552
35.69165,139.73547
35.69172,139.73542
35.69178,139.73538
35.69184,139.73533
35.6919,139.73528
35.69195,139.73525
35.69199,139.73521
35.69202,139.73519
35.69204,139.73517
35.69205,139.73516
35.69205,139.73516
35.69205,139.73515
35.69205,139.73515
35.69205,139.73514
35.69205,139.73514
35.69205,139.73514
35.69205,139.73514
35.69205,139.73514
35.69205,139.73514
35.69205,139.73514
35.69205,139.73514
35.69205,139.73514
35.69205,139.73514
35.69205,139.73514
35.69205,139.73514
35.69205,139.73514
35.69205,139.73514
35.69205,139.73514
35.69205,139.73514
35.69207,139.73514
35.69208,139.73513
35.69208,139.73512
35.69208,139.73511
35.69208,139.73508
35.69208,139.73507
35.69208,139.73508
35.69208,139.73508
35.69203,139.73498
35.692,139.73493
35.69198,139.73487
35.69195,139.73481
35.69192,139.73474
35.69189,139.73467
35.69185,139.73459
35.69181,139.7345
35.69177,139.73441
35.69172,139.73432
35.69167,139.73422
35.69162,139.73412
35.69156,139.73406
35.6915,139.73399
35.69146,139.73393
35.69142,139.73387
35.69138,139.73381
35.69132,139.73373
35.69125,139.73365
35.69119,139.73357
35.69112,139.73349
35.69106,139.7334
35.69099,139.73332
35.69093,139.73323
35.69086,139.73315
35.6908,139.73307
35.69073,139.73299
35.69066,139.73291
35.69058,139.73283
35.69051,139.73276
35.69044,139.73268
35.69037,139.7326
35.69031,139.73252
35.69025,139.73245
35.6902,139.73237
35.69017,139.73228
35.69014,139.7322
35.69011,139.73212
35.69009,139.73204
35.69007,139.73194
35.69005,139.73185
35.69003,139.73176
35.69001,139.73169
35.68999,139.73162
35.68997,139.73157
35.68996,139.73153
35.68994,139.73149
35.68993,139.73146
35.68991,139.73144
35.6899,139.73143
35.6899,139.73142
35.6899,139.73142
35.68989,139.73141
35.68989,139.73141
35.68989,139.7314
35.68989,139.7314
35.68989,139.7314
35.68989,139.7314
35.68989,139.7314
35.68989,139.7314
35.68989,139.7314
35.68989,139.7314
35.68989,139.7314
35.68989,139.7314
35.6899,139.73138
35.6899,139.73137
35.68989,139.73134
35.68987,139.7313
35.68985,139.73125
35.68983,139.7312
35.68981,139.73113
35.68978,139.73106
35.68976,139.731
35.68972,139.73093
35.68969,139.73087
35.68964,139.73082
35.68958,139.73077
35.68953,139.73072
35.68946,139.73068
35.6894,139.73064
35.68932,139.7306
35.68924,139.73057
35.68916,139.73053
35.68907,139.73049
35.68898,139.73046
35.68889,139.73043
35.6888,139.7304
35.68871,139.73036
35.68861,139.73034
35.68851,139.73032
35.68842,139.73029
35.68833,139.73027
35.68824,139.73024
35.68815,139.73021
35.68806,139.73019
35.68797,139.73016
35.68788,139.73013
35.68779,139.7301
35.6877,139.73007
35.68762,139.73004
35.68753,139.73002
35.68744,139.72998
35.68735,139.72995
35.68726,139.72992
35.68716,139.72988
35.68707,139.72984
35.68698,139.72981
35.6869,139.72977
35.68682,139.72973
35.68673,139.72972
35.68667,139.72971
35.6866,139.72969
35.68654,139.72968
35.68648,139.72967
35.68644,139.72966
35.68642,139.72965
35.68641,139.72965
35.68641,139.72964
35.68641,139.72964
35.68641,139.72964
35.68641,139.72964
35.68641,139.72964
35.6864,139.72965
35.6864,139.72965
35.6864,139.72965
35.6864,139.72965
35.6864,139.72965
35.6864,139.72965
35.6864,139.72965
35.6864,139.72965
35.6864,139.72965
35.6864,139.72965
35.6864,139.72965
35.6864,139.72965
35.6864,139.72965
35.6864,139.72965
35.6864,139.72965
35.6864,139.72965
35.68637,139.72964
35.68633,139.72963
35.68628,139.72962
35.68623,139.7296
35.68617,139.72958
35.68611,139.72956
35.68605,139.72954
35.686,139.72953
35.68595,139.72951
35.68591,139.72947
35.68586,139.72947
35.68584,139.72946
35.68584,139.72931
35.68585,139.72925
35.68586,139.72918
35.68589,139.72911
35.68592,139.72903
35.68595,139.72894
35.68599,139.72884
35.68603,139.72874
35.68606,139.72863
35.68609,139.72854
35.68612,139.72843
35.68616,139.72832
35.6862,139.72821
35.68624,139.7281
35.68627,139.72799
35.68631,139.72788
35.68635,139.72776
35.68639,139.72765
35.68644,139.72753
35.68647,139.7274
35.68651,139.72728
35.68655,139.72716
35.68659,139.72705
35.68664,139.72694
35.68668,139.72682
35.68673,139.7267
35.68678,139.72657
35.68682,139.72645
35.68687,139.72632
35.68692,139.7262
35.68698,139.72607
35.68703,139.72594
35.68708,139.72581
35.68713,139.72568
35.68718,139.72555
35.68723,139.72541
35.68728,139.72528
35.68732,139.72515
35.68736,139.72501
35.6874,139.72487
35.68744,139.72473
35.68748,139.72459
35.68751,139.72445
35.68754,139.72431
35.68757,139.72418
35.6876,139.72404
35.68763,139.72389
35.68767,139.72375
35.6877,139.72361
35.68774,139.72346
35.68778,139.72332
35.68782,139.72317
35.68785,139.72303
35.68788,139.72289
35.68791,139.72275
35.68795,139.72261
35.68798,139.72247
35.688,139.72231
35.68801,139.72216
35.68802,139.72201
35.68802,139.72187
35.68802,139.72172
35.68802,139.72157
35.688,139.72143
35.68798,139.72128
35.68796,139.72113
35.68794,139.72098
35.68793,139.72084
35.68791,139.7207
35.6879,139.72057
35.68789,139.72043
35.68788,139.7203
35.68787,139.72016
35.68786,139.72002
35.68785,139.71989
35.68784,139.71976
35.68783,139.71962
35.68781,139.71948
35.6878,139.71933
35.68778,139.71919
35.68777,139.71906
35.68776,139.71894
35.68775,139.71881
35.68773,139.71869
35.68772,139.71856
35.68771,139.71842
35.6877,139.71827
35.68769,139.71813
35.68768,139.718
35.68767,139.71786
35.68766,139.71775
35.68766,139.71763
35.68766,139.71751
35.68765,139.71739
35.68763,139.71725
35.68761,139.71712
35.6876,139.71698
35.68759,139.71685
35.68758,139.71673
35.68756,139.71663
35.68755,139.71654
35.68752,139.71646
35.68751,139.7164
35.68749,139.71635
35.68749,139.71632
35.68748,139.71629
35.68748,139.71626
35.68747,139.71625
35.68747,139.71623
35.68747,139.71623
